Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,C1,c_1,C2,c_2,C3,c_3,Cabin
0,3,male,22,1,0,7.25,S,6,50,5,56,2,43,F
1,1,female,38,1,0,71.2833,C,2,85,5,56,2,43,B
1,3,female,26,0,0,7.925,S,6,50,5,56,2,43,F
1,1,female,35,1,0,53.1,S,2,123,5,56,2,43,B
0,3,male,35,0,0,8.05,S,6,50,5,56,2,43,F
0,3,male,29,0,0,8.4583,Q,6,50,5,56,2,43,F
0,1,male,54,0,0,51.8625,S,4,46,5,56,2,43,D
0,3,male,2,3,1,21.075,S,6,50,5,56,2,43,F
1,3,female,27,0,2,11.1333,S,6,50,5,56,2,43,F
1,2,female,14,1,0,30.0708,C,6,50,5,56,2,43,F
1,3,female,4,1,1,16.7,S,6,6,5,56,2,43,F
1,1,female,58,0,0,26.55,S,2,103,5,56,2,43,B
0,3,male,20,0,0,8.05,S,6,50,5,56,2,43,F
0,3,male,39,1,5,31.275,S,6,50,5,56,2,43,F
0,3,female,14,0,0,7.8542,S,6,50,5,56,2,43,F
1,2,female,55,0,0,16,S,6,50,5,56,2,43,F
0,3,male,2,4,1,29.125,Q,6,50,5,56,2,43,F
1,2,male,29,0,0,13,S,6,50,5,56,2,43,F
0,3,female,31,1,0,18,S,6,50,5,56,2,43,F
1,3,female,29,0,0,7.225,C,6,50,5,56,2,43,F
0,2,male,35,0,0,26,S,6,50,5,56,2,43,F
1,2,male,34,0,0,13,S,3,56,5,56,2,43,C
1,3,female,15,0,0,8.0292,Q,6,50,5,56,2,43,F
1,1,male,28,0,0,35.5,S,0,6,5,56,2,43,@
0,3,female,8,3,1,21.075,S,6,50,5,56,2,43,F
1,3,female,38,1,5,31.3875,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.225,C,6,50,5,56,2,43,F
0,1,male,19,3,2,263,S,2,23,1,25,1,27,B
1,3,female,29,0,0,7.8792,Q,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
0,1,male,40,0,0,27.7208,C,6,50,5,56,2,43,F
1,1,female,29,1,0,146.5208,C,1,78,5,56,2,43,A
1,3,female,29,0,0,7.75,Q,6,50,5,56,2,43,F
0,2,male,66,0,0,10.5,S,6,50,5,56,2,43,F
0,1,male,28,1,0,82.1708,C,6,50,5,56,2,43,F
0,1,male,42,1,0,52,S,6,50,5,56,2,43,F
1,3,male,29,0,0,7.2292,C,6,50,5,56,2,43,F
0,3,male,21,0,0,8.05,S,6,50,5,56,2,43,F
0,3,female,18,2,0,18,S,6,50,5,56,2,43,F
1,3,female,14,1,0,11.2417,C,6,50,5,56,2,43,F
0,3,female,40,1,0,9.475,S,6,50,5,56,2,43,F
0,2,female,27,1,0,21,S,6,50,5,56,2,43,F
